carnet,terraform,helm,gitops,rollouts,validacion,seguridad,total60,eliminatorios
202110363,8,8,14,14,8,8,60,"ninguno"
202110363,8,8,14,14,8,8,60,"ninguno"
202110363,8,8,14,14,8,8,60,"ninguno"
202110363,8,8,14,14,8,8,60,"ninguno"
202110363,8,8,14,14,8,8,60,"ninguno"
202110363,0,0,4,14,2,3,23," repo-codigo repo-gitops readme sin-workflows no-synced"
202110363,0,0,4,14,2,6,26," repo-codigo readme sin-workflows no-synced"
202110363,8,8,14,14,8,8,60,"ninguno"
202110363,8,8,14,14,8,8,60,"ninguno"
202110363,8,8,14,14,8,8,60,"ninguno"
